NOCCODE,OperatorPublicName,RefNm,OpNm,Licence,TLRegOwn,Mode,ManDivNm,GpNme,EBSRAgent,LO,SW,WM,WA,YO,NW,NE,SC,SE,EA,EM,NI,NX,Megabus,"New Bharat",Terravision,NCSD,Easybus,Yorks_RT,"Travel Enq",Comment,AuditDate,AuditEditor,AuditComment,Duplicate,"Date Ceased","Cessation Comment"
MDBC,"Link Network","Link Network","MD Bus & Coach",PC1129471,NW,Bus,"MD Bus & Coach Limited",NoGroup_BusMode,,,,,,,LNNE,,,,,,,,,,,,,,,,"2016-10-11 00:00:00","Amy Brown",,,,
MDBC,"Link Network","Link Network","MD Bus & Coach",,NW,Bus,"MD Bus & Coach Limited",NoGroup_BusMode,,,,,,,2910,,,,,,,,,,,,,,,,"2022-05-27 00:00:00","Amy Brown","Updated Public name",,,
MDBS,"MacDonald Bros (Isle of South Uist)","MacDonald Bros","Hector Macdonald & D J Macdonald",PM0002603,SC,Bus,"Hector Macdonald & D J Macdonald,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-10-01 00:00:00","Licence ceased for Stuart McNeil"
MDBU,"Midland Bus Company","Midland Bus Company","Midland Bus Company",,WM,Bus,"Midland Bus Company,",NoGroup_Mode,,,,,,,,,,,,,,,,,,,,,,,"2012-04-24 00:00:00","John Prince","Added for WM",OK,,
MDCL,"Diamond Bus East Midlands","Diamond Bus East Midlands","Diamond Bus (East Midlands) Ltd",PD1050801,WM,Bus,"Diamond Bus (East Midlands) Ltd,",Rotala,,,,DIAE,,,,,,,,MDCL,,,,,,,,,,,"2022-11-14 00:00:00","Amy Brown","Transferred from Midland Classic",OK,,
MDCO,"Mid Devon Coaches","Mid Devon Coaches","Kenneth John Wills",PH0003983,SW,Bus,"Kenneth John Wills,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-07-03 00:00:00","Seasonal? for Andy Hole"
MDLD,Midland,Midland,"Liyell Ltd",PD0001157,WM,Bus,"Liyell Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2012-04-24 00:00:00","John Prince","Added for WM",OK,,
MDMC,"M & D Mini Coaches",(Whitby),"M & D Mini Coaches Ltd",PB1026437,YO,Bus,"M & D Mini Coaches Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,MDM,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-07-27 00:00:00","Ceased for Andrew Davie"
MDTP,"Manchester & District Transport for Sick Children","Manchester & District  Transport for Sick Children","Manchester & District  Transport for Sick Children",,NW,Bus,"Manchester & District  Transport for Sick Children,",NoGroup_BusMode,,,,,,,2022,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MDTX,"Mundole Taxis","Mundole Taxis","Thomas A Ross",PM1003777,SC,Bus,"Thomas A Ross,",NoGroup_BusMode,,,,,,,,,MDT,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MEDT,"Jeakins Coach Travel","Jeakins Coach Travel","Jeakins Limited",PK0003016,SE,Bus,"Jeakins Limited,",NoGroup_BusMode,,,,,,,,,,MEDT,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,"2015-06-15 00:00:00","Data cleanse for David Dyson"
MERC,"Merlin Coaches","Merlin Coaches","Nabita Dhanda",PK2007091,SE,Bus,"Nabita Dhanda",NoGroup_BusMode,,,,,,,,,,MERC,,,,,,,,,,,,,"2022-01-17 00:00:00","Amy Brown","Added for David Dyson",,,
MERE,"Merediths Coaches",Merediths,"Merediths Coaches Ltd",PC1024712,NW,Bus,"Merediths Coaches Ltd,",NoGroup_BusMode,,,,MER,,,2228,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MERL,"Merlins Ark","Merlins Ark","Equalstorm Ltd",PM0002528,SC,Bus,"Equalstorm Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-10-01 00:00:00","Licence ceased for Stuart McNeil"
MERT,"Merlin Travel","Merlin Travel","David James Bruce",PM1138460,SC,Bus,"David James Bruce",NoGroup_BusMode,,,,,,,,,MER,,,,,,,,,,,,,,"2017-10-20 00:00:00","Amy Brown",,,,
MERV,"Mervyn's Coaches","Mervyn's Coaches (Winchester)","Mervyn Annetts & Partners",PH0006042,SW,Bus,"Mervyn Annetts & Partners,",NoGroup_BusMode,,,MG,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MESC,"Eastern Scottish","Eastern Scottish","Eastern Scottish",PM0000923,SC,Bus,"Eastern Scottish","McGill's Group",,,,,,,,,ESH,,,,,,,,,,,,,,"2022-09-27 00:00:00","Amy Brown",,,,
MESR,"Messenger's Coaches (Carlisle)",Messenger,"Messengers Coaches Ltd",PC0004205,NE,Bus,"Messengers Coaches Ltd,",NoGroup_BusMode,,,,,,,,MES,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
METR,Metrobus,Metrobus,"Metrobus Ltd",PK0002125,LO,Bus,"Metrobus Ltd,","Go Ahead Group",,MB,,,,,,,,METR,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
METR,Metrobus,Metrobus,"Metrobus Ltd",PK0002125,LO,Bus,"Metrobus Ltd,","Go Ahead Group",,ME,,,,,,,,,,,,,,,,,,,,,"2015-09-04 00:00:00","John Prince","Second London code for David Dyson",Dup,,
METX,"MET Taxis","MET Taxis","MET Taxis",,WA,Bus,"MET Taxis,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,"Operational taxi service","2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MGIC,"MagicBus (Manchester)",MagicBus,"Greater Manchester Buses South Ltd",PC0003681,NW,Bus,"Stagecoach Manchester & Stagecoach Wigan,",Stagecoach,Stagecoach,,,,,,,,,,,,,,,,,,,,,,"2010-02-14 00:00:00","Mark Fell","Operator added by Chas Allen request",OK,,
MGNT,"Magnet Express","Magnet Express","Trevor Orlando Wisdom & Kay Wong",PB1085844,YO,Bus,"Trevor Orlando Wisdom & Kay Wong,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MHCO,"M & H Coaches","M & H Coaches","Margaret Owen",PG1115480,WA,Bus,"GHA Coaches,","GHA Coaches",,,,,MHCO,,MANH,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-07-17 00:00:00","Ceased for Debra Glaves"
MHMC,"Mike Halford Mini Coaches","Mike Halford Mini Coaches","Michael Gordon Halford",PH0005001,SW,Bus,"Michael Gordon Halford,",NoGroup_BusMode,,,MH,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MHST,"MHS Travel","MHS Travel","Mhs Travel Limited",PD1083434,WM,Bus,"Mhs Travel Limited,",NoGroup_BusMode,,,,MHS,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MHTR,"Mark A Hobson","M & H Travel","Mark Anthony Hobson",PC1014661,NW,Bus,"Mark Anthony Hobson,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-09-23 00:00:00","Operator Ceased for John McCabe"
MIDI,"Ian's Midi Coaches (Carlisle)","Ian's Midi Coaches","Ian Murray",PC0005360,NE,Bus,"Ian Murray,",NoGroup_BusMode,,,,,,,,MID,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MIDM,"Midland Minicoaches","Midland Minicoaches","Midland Minicoaches",,WM,Bus,"Midland Minicoaches,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MIDN,"Midnorth Minibuses",Midnorth,"Midnorth Minibuses",,NW,Bus,"Midnorth Minibuses         ,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-09-23 00:00:00","Operator Ceased for John McCabe"
MIDR,"Midland Rider","Midland Rider","Midland Rider Ltd",PD0001856,WM,Bus,"Midland Rider Ltd,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MIDW,"Midway Motors","Midway Motor Services","Midway Motors (Crymych) Ltd",PG1085409,WA,Bus,"Midway Motors (Crymych) Ltd,",NoGroup_BusMode,,,,,MIDW,,2027,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MIGN,"Midland General","Midland General","The Midland General Omnibus Company Ltd",PB1040823,EM,Bus,"The Midland General Omnibus Company Ltd,","Wellglade Group",,,,,,,,,,,,MIGN,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
MIKO,"Mikro Coaches","Mikro Coaches","Robert John Meakin",PC0003567,NW,Bus,"Robert John Meakin,",NoGroup_BusMode,,,,,,,MIKO,,,,,,,,,,,,,,,,"2017-02-28 00:00:00","Amy Brown","Updated local code from 2241",OK,,
MILC,"Milligans Coach Travel","Milligan's Coach Travel","Milligan'S Coach Travel Ltd",PM1019379,SC,Bus,"Milligan'S Coach Travel Ltd,",NoGroup_BusMode,,,,,,,,,MIL,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MINI,Cruisers,"Minicruisers London (Kent)","Cruisers Ltd",PK0002929,SE,Bus,"Cruisers Ltd,",NoGroup_BusMode,,,,,,,,,,MINI,,,,,,,,,,,,,"2015-06-15 00:00:00","John Prince","Data cleanse for David Dyson",OK,,
MINS,Minsterley,Minsterley,"Minsterley Motor Services Ltd",PD0001899,WM,Bus,"Minsterley Motor Services Ltd,",NoGroup_BusMode,,,,MIN,MINS,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MINT,Mintax,Mintax,"Colin Minard",PG0006865,WA,Bus,"Colin Minard,",NoGroup_BusMode,,,,,MINT,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MINV,"Minerva Travel","Minerva Accord","Stephen Bryan Petty",PH0005664,SW,Bus,"Stephen Bryan Petty,",NoGroup_BusMode,,,MV,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-07-03 00:00:00","Seasonal? for Andy Hole"
MITL,"Michael's Travel","Michael's Travel (Mitcheldean)","Michael Henry Davis",PH0005559,SW,Bus,"Michael Henry Davis,",NoGroup_BusMode,,,MIT,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MITP,"Mitchells of Plean","Mitchells of Plean","John Mitchell",PM0000533,SC,Bus,"John Mitchell,",NoGroup_BusMode,,,,,,,,,MIT,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MJCO,"M + J Coaches","M & J Coaches","M + J Coaches",,NW,Bus,"M + J Coaches                                   ,",NoGroup_BusMode,,,,,,,2289,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MJHC,"M & J Harcus","M & J Harcus","James Harcus & Kenneth James Harcus",PM0003003,SC,Bus,"James Harcus & Kenneth James Harcus,",NoGroup_BusMode,,,,,,,,,MJH,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MJTR,"M & J Travel","M & J Travel","J E & J M Price",PD1034973,WM,Bus,"J E & J M Price,",NoGroup_BusMode,,,,MJT,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MKCO,"Mackie's Coaches","MacKies Coaches","James L Mackie",PM0001736,SC,Bus,"James L Mackie,",NoGroup_BusMode,,,,,,,,,MKC,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MKEN,"Mil-Ken Travel","Mil-Ken Travel","Mil-Ken Travel Ltd",PF0000430,EA,Bus,"Mil-Ken Travel Ltd",NoGroup_BusMode,,,MKEN,,,,,,,,MKEN,,,,,,,,,,,,"2021-08-23 00:00:00","Amy Brown",,,,
MKHL,"Hearson Coaches","M K Hearson Coaches (Notts)","Malcolm Keith Hearson",PB0002623,EM,Bus,"Malcolm Keith Hearson,",NoGroup_BusMode,,,,,,,,,,,,MKHL,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
MKMT,"Arriva MK",Arriva,"M K Metro Ltd",PF0005074,SE,Bus,"Arriva in the South East,",Arriva,,,,,,,,,,MKMT,,MKMT,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,"2015-08-07 00:00:00","Licence ceased for Richard Warwick"
MKZT,"McKenzie Travel",,"Mckenzie David James And Mckenzie Michelle Louise",PC0003943,NW,Bus,"Mckenzie David James And Mckenzie Michelle Louise,",NoGroup_BusMode,,,,,,,,MKT,,,,,,,,,,,,,,,"2013-07-18 00:00:00","John Prince","Added for NE for P Stoner",OK,,
MLBU,"Millington Buses",,"Richard Glyn Millington",PG1104691,WA,Bus,"Richard Glyn Millington,",NoGroup_BusMode,,,,,MLBU,,,,,,,,,,,,,,,,,,"2013-07-19 00:00:00","John Prince","Added for Martyn Dunn",OK,,
MLCO,"M-Line Coaches","M-Line Coaches","M-Line International Coaches Ltd",PM1036322,SC,Bus,"M-Line International Coaches Ltd,",NoGroup_BusMode,,,,,,,,,MLC,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MLLC,"Millers Coaches","Millers Coaches","Millers Coaches Scotland Ltd",PM1033473,SC,Bus,"Millers Coaches Scotland Ltd,",NoGroup_BusMode,,,,,,,,,MLL,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MLNM,"Millennium Travel (Lochgelly)","Millennium Travel","Adam M Fernie",PM1007720,SC,Bus,"Adam M Fernie,",NoGroup_BusMode,,,,,,,,,MLN,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MLTV,"Meridian Bus","Meridian Line Travel","Norman Ronald Dawes",PF0001810,SE,Bus,"Norman Ronald Dawes,",NoGroup_BusMode,,,,,,,,,,MLTV,MLTV,,,,,,,,,,,,"2015-06-15 00:00:00","John Prince","Data cleanse for David Dyson",OK,"2015-06-22 00:00:00","Ceased for David Dyson"
MMCO,"M & M Coaches","M & M Coaches","Mohammed Iqbal",PC0001478,NW,Bus,"Mohammed Iqbal,",NoGroup_BusMode,,,,,,,MMC,,,,,,,,,,,,,,,,"2016-09-08 00:00:00","Amy Brown","Replaced Trapeze code with new local code",OK,,
MMIV,"Murdo MacIver","Murdo MacIver (Isle of Lewis)","Murdo N Maciver",PM1063416,SC,Bus,"Murdo N Maciver,",NoGroup_BusMode,,,,,,,,,MMI,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MNCC,"Monmouthshire County Council",,"Monmouthshire County Council",PG1060289,WA,Bus,"Monmouthshire County Council,",NoGroup_BusMode,,,,,MNCC,,,,,,,,,,,,,,,,,,"2015-03-04 00:00:00","John Prince","Correct licence prefix to PG",OK,,
MNCC,"Monmouthshire County Council",,"Monmouthshire County Council",PG1060289,WA,Bus,"Monmouthshire County Council,",NoGroup_BusMode,,,,,MNCC,,,,,,,,,,,,,,,,,,"2015-03-04 00:00:00","John Prince","Replace 5 char local Wales code with NOC for Debra Glaves and correct licence prefix to PG",Dup,,
MNET,"MET Coaches","Minibus Executive Travel","Minibus Executive Travel Ltd",PF1001625,SE,Bus,"Minibus Executive Travel Ltd,",NoGroup_BusMode,,,,,,,,,,MNET,,,,,,,,,,,,,"2014-03-10 00:00:00","John Prince","Change Public Name for David Dyson; add VOSA details",OK,,
MNPH,"JMJ Travel Ltd","Menyn's Private Hire","Terrance Jones & Joanne Jones",PG1045942,WA,Bus,"Terrance Jones & Joanne Jones,",NoGroup_BusMode,,,,,MNPH,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-09-09 00:00:00","Licence ceased for Debra Glaves"
MNRO,"Munro's of Jedburgh","Munro's of Jedburgh","Munro'S Of Jedburgh Ltd",PM1023941,SC,Bus,"Munro'S Of Jedburgh Ltd,",NoGroup_BusMode,,,,,,,,MUJ,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-10-01 00:00:00","Licence ceased for Stuart McNeil"
MOFF,"Moffat & Williamson","Moffat & Williamson","Moffat & Williamson Ltd",PM0001027,SC,Bus,"Moffat & Williamson Ltd,",NoGroup_BusMode,,,,,,,,,MOF,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MOOR,MoorsBus,"(North Yorkshire)",MoorsBus,,YO,Bus,"MoorsBus,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-07-27 00:00:00","Ceased for Andrew Davie"
MORR,"Morrison Travel","Morrison Travel","Angus Morrison",PM0000152,SC,Bus,"Angus Morrison,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,"2015-10-01 00:00:00","Licence ceased for Stuart McNeil"
MORT,"Morton Coaches","Morton Coaches (Alfreton)","Peter Gordon Holmes",PC0003243,EM,Bus,"Peter Gordon Holmes,",NoGroup_BusMode,,,,,,,,,,,,MORT,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
MOST,"Mostonian 2000 Coaches","Mostonian Coaches","Christopher John Painter",PC0004797,NW,Bus,"Christopher John Painter,",NoGroup_BusMode,,,,,,,2031,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MOTL,"J Motley & Son","J Motley","Christopher Sean Motley",PB1082877,YO,Bus,"Christopher Sean Motley,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MOTT,"Motts Travel","Motts Travel","Motts Coaches (Aylesbury) Ltd",PF0005046,SE,Bus,"Motts Coaches (Aylesbury) Ltd,",NoGroup_BusMode,,,,,,,,,,MOTT,,,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
MOVP,"Moving People","Moving People","Moving People Limited",PC1082197,NW,Bus,"Moving People Limited,",NoGroup_BusMode,,,,,,,MOVP,,,,,,,,,,,,,,,,"2016-09-09 00:00:00","Amy Brown","Replaced Trapeze code with new local code",OK,,
MOXN,"Moxons Tours","Moxons Tours","C W Moxon Ltd",PB0002629,YO,Bus,"C W Moxon Ltd,",NoGroup_BusMode,,,,,,MOX,,,,,,,,,,,,,,MOX,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MPCO,"M Pearson Coaches","M Pearson Coaches (Chesterfield)","Michael Pearson",PC0003583,EM,Bus,"Michael Pearson,",NoGroup_BusMode,,,,,,,,,,,,MPCO,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
MPCS,"MacPhails Coaches","MacPhails Coaches","Macphails Coaches Ltd",PM1040390,SC,Bus,"Macphails Coaches Ltd,",NoGroup_BusMode,,,,,,,,,MPC,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MPHS,"Menzies Private Hire",,"Donald Stuart Menzies",PM1109648,SC,Bus,"Donald Stuart Menzies,",NoGroup_BusMode,,,,,,,,,MPH,,,,,,,,,,,,,,"2014-09-15 00:00:00","John Prince","Added for Stuart McNeill",OK,,
MPOM,"Millport Motors","Millport Motors","Millport Motors Ltd",PM0000143,SC,Bus,"Millport Motors Ltd,",NoGroup_BusMode,,,,,,,,,MPO,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MPTR,"MP Travel","MP Travel","MP Travel Group Limited",PC2026017,NW,Bus,"MP Travel Group Limited",NoGroup_BusMode,,,,,,,2917,,,,,,,,,,,,,,,,"2020-12-17 00:00:00","Amy Brown",,,,
MRBU,"Meridian Bus",,"Britannia Bus Ltd",PF1124300,EM,Bus,"Britannia Bus Ltd,",NoGroup_BusMode,,,,,,,,,,MRBU,,MRBU,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
MRDL,"MRD Ltd","MRD Ltd","M R D Ltd",PD0001697,WM,Bus,"M R D Ltd,",NoGroup_BusMode,,,,MDA,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MRKT,"MacRae Kintail","MacRae Kintail (Kyle)","Lexy Alice Macrae",PM1001504,SC,Bus,"Lexy Alice Macrae,",NoGroup_BusMode,,,,,,,,,MRK,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MRRS,"Morris Travel","Morris Travel (Carmathenshire)","Morris Travel Ltd",PG0007563,WA,Bus,"Morris Travel Ltd,",NoGroup_BusMode,,,,,MRRS,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MRRY,"Gavin Murray Ltd (& Ellisons Coach)",Murrays,"Gavin Murray Ltd",PC0001707,NW,Bus,"Gavin Murray Ltd,",NoGroup_BusMode,,,,,,,2343,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MRSN,"Morrisons Coaches","Morrison Coaches","Stuart Morrison & Catherine Morrison",PM1099944,SC,Bus,"Stuart Morrison & Catherine Morrison,",NoGroup_BusMode,,,,,,,,,MRD,,,,,,,,,,,,,,"2015-12-11 00:00:00","Steven Penn","Scotland code added",OK,,
MRTL,"Michael Robinson Travel","Michael Robinson Travel (Hinckley)","Michael Robinson  & Partners",PF1010283,EM,Bus,"Michael Robinson  & Partners,",NoGroup_BusMode,,,,,,,,,,,,MRTL,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
MRTM,"Maritime Travel",Maritime,"Maritime Travel",,NW,Bus,"Maritime Travel                                 ,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-09-23 00:00:00","Operator Ceased for John McCabe"
MRTN,"Martins Coach Travel (Livingston)","Martins Coach Travel","Anthony John Martin",PM0001824,SC,Bus,"Anthony John Martin,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-10-01 00:00:00","Licence ceased for Stuart McNeil"
MRTT,"Mortons Travel",,"Mortons Travel",PH1109011,SW,Bus,"Lucketts Group,","National Express Group PLC",,,MO,,,,,,,MRTT,,,,,,,,,,,,"Created for Andy Hole","2016-07-28 00:00:00","Amy Brown",,,,
MSBU,"M & S Bus","M & S Bus","M & S Bus",,SC,Bus,"M & S Bus,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MSHC,"Marshalls Coaches","Marshalls Coaches","Marshall's Coaches LLP",PF1098485,SE,Bus,"Marshall's Coaches LLP,",NoGroup_BusMode,,MC,MSHC,,,,,,,MSHC,,,,,,,,,,,,,"2015-06-15 00:00:00","John Prince","Data cleanse for David Dyson",OK,,
MSHL,"Ian Marshall","Ian Marshall","Ian Marshall",,NW,Bus,"Ian Marshall                                    ,",NoGroup_BusMode,,,,,,,1590,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MSKM,"M S K MINI Coaches","M S K Minis","M S K MINI Coaches",,NW,Bus,"M S K MINI Coaches                              ,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-09-23 00:00:00","Operator Ceased for John McCabe"
MSMO,"J B & M S Morrison","J D & M S Morrison","J D & P A Morrison",PM1005238,SC,Bus,"J D & P A Morrison,",NoGroup_BusMode,,,,,,,,,MSM,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,,
MSNT,"Masons Travel","Masons Travel","Masons Travel",,WM,Bus,"Masons Travel,",NoGroup_BusMode,,,,MSN,,,,,,,,,,,,,,,,,,,"2013-08-30 00:00:00","John Prince","Replace blank PublicName with ReferenceName",OK,,
MSOT,"Marshalls of Sutton on Trent","Marshalls of Sutton on Trent","Marshalls of Sutton on Trent Ltd",PB1071038,EM,Bus,"Marshalls of Sutton on Trent Ltd",NoGroup_BusMode,,,,,,,,,,,,MSOT,,,,,,,,,,,"2013-09-20 00:00:00","John Prince","Swap Public Name and Reference Name",OK,,
MSYG,"Merseyguides Association",Merseyguides,"Merseyguides Association",,NW,Bus,"Merseyguides Association    ,",NoGroup_BusMode,,,,,,,,,,,,,,,,,,,,,,,"2010-03-31 00:00:00","Mark Fell","Intial NOC Build",OK,"2015-09-23 00:00:00","Operator Ceased for John McCabe"
MTCH,"McLeans Taxis and Coach Hire",,"William McLean & Partners",PM1121918,SC,Bus,"William McLean & Partners,",NoGroup_BusMode,,,,,,,,,MTC,,,,,,,,,,,,,,"2013-09-05 00:00:00","John Prince","Add for Stuart McNeil",OK,,
MTGT,"Mountain Goat Holidays and Tours","Mountain Goat","Mountain Goat Ltd",PC0003705,NW,Bus,"Mountain Goat Ltd,",NoGroup_BusMode,,,,,,,MTG,,,,,,,,,,,,,,,,"2016-09-08 00:00:00","Amy Brown","Added code to NW",OK,,
MTLN,"Metroline Travel","Metroline Travel","Metroline Travel Limited",PF1040528,LO,Bus,"Metroline Travel Limited,",ComfortDelgro,,ML,,,,,,,,MTLN,,,,,,,,,,,,,"2014-02-04 00:00:00","John Prince","specify Lic Name",OK,,
MTLN,"Metroline Travel","Metroline Travel","Metroline Travel Limited",PF1040528,LO,Bus,"Metroline Travel Limited,",ComfortDelgro,,MT,,,,,,,,,,,,,,,,,,,,,"2017-05-22 00:00:00","Amy Brown","Added local code MT",,,
MTLY,"Marsland Travel",,"Marsland Travel Limited",PB1119937,YO,Bus,"Marsland Travel Limited,",NoGroup_BusMode,,,,,,MTL,,,,,,,,,,,,,,,,,"2015-09-10 00:00:00","John Prince","Added for Andew Davie",OK,,
